site,latitude,longitude,height,source
CN14,20.9753294656,-73.677951669,-34.23872,gage
CN15,26.55665578,-78.6930835,-27.5547,rtdb
CN18,17.4076736213,-83.9443281647,1.42245,gage
CN19,12.6118497396,-70.048499837,-0.37095,gage
CN20,9.3516768596,-82.2562652341,13.12666,gage
CN21,13.402740599,-87.4270948034,15.79743,gage
CN22,12.38409,-87.04469,28.8428,rtdb
CN23,17.2606072505,-88.7787584635,55.26007,gage
CN24,19.5755621209,-88.0539058295,7.88905,gage
CN25,16.2320431711,-92.1352416633,1649.2446,gage
CN26,22.382999,-89.682384,-10.067,rtdb
CN27,19.6671187618,-69.9398100607,-21.14435,gage
CN28,8.625078,-79.033712,28.694,rtdb
CN29,14.04879667,-83.37463794,30.3025,rtdb
CN30,11.99355131,-83.7720486,30.0339,rtdb
CN33,8.48723951,-80.3266679,76.7982,rtdb
CN34,8.548918,-78.014763,86.247,rtdb
CN35,13.3754961803,-81.3629193295,47.84866,gage
CN36,8.81965,-75.82113,15.3086,rtdb
CN37,10.79258,-75.26317,1.44365,rtdb
CN38,12.22182,-71.98803,10.44833,rtdb
CN40,12.1800451634,-68.9580128591,33.31432,gage
CN44,11.000453,-63.910301,837.853,rtdb
CN45,10.837017,-60.938275,33.2,rtdb
CN46,12.4868358564,-61.426986964,-22.63011,gage
CN47,13.7107883702,-60.9404938529,177.12254,gage
CN48,15.4388140787,-61.4216407487,279.8469,gage
CN53,21.7826522488,-72.2538674565,-15.67602,gage
CN55,8.243270989,-80.53933636,45.994,rtdb
CN57,10.837084942,-60.9383098066,-5.6053,gage
CN58,18.586565955,-63.4265205178,-35.20291,gage
CN59,18.20662592,-63.0538521,11.138,rtdb
CN60,8.6272202366,-79.0341065139,28.08791,gage
CN62,16.7902544878,-62.1939777366,145.86118,gage
CNC0,21.1744,-86.8208,-3.0,rtdb
CNC1,40.0771064307,-108.7895782181,1650.62429,gage
