FourCharID,Lat,Long,Height
MSCG,34.038502375,-116.6479618635,913.09288
MSHP,37,-121,171
MSOB,34.2308453353,-117.2101288002,1733.20873
MTA1,34.05521943,-118.24550344,72.591
MTGG,33.1991646272,-116.647229572,1066.72774
MTPK,37,-121,750
MULN,36,-120,25
MUSB,37.16994092,-119.309351,2042.5353
MVFD,33,-116,1190
MZAL,5.03,-75.47052,2101.21961
MZNT,45.6985,-123.9303,9
NANO,49,-124,6
NARL,48,-122,25
NAS0,25.052559,-77.462256,-16.476
NAST,27.6567,85.327729,1337
NAYX,32.32429,-115.295514,-24.1
NCSB,50,-126,1285
NDAP,34.767688,-114.618629,241.3902
NEAH,48.297855,-124.624907,459.8761
NEWS,39.685617,-117.508936,1770.2546
NHRG,34.49865,-119.14124,1649.419
NINT,47,-121,127
NOCO,33.9197105938,-117.5695850861,186.81968
NOMT,45.596919,-111.629821,1578.0412
NOSE,43.9121,-123.739,815
NRWY,44.714848,-110.677717,2342.7
NSSS,32,-116,123
NWBG,45,-122,42
NWBL,16.820271,-62.20271,146.7
NYBA,-1.762367,29.349644,2246
OAES,34.141005,-116.067736,604.7918
OAKR,43,-122,375
OAMU,5.64721,-73.55803,2109.59798
OAXA,17.072539112401774,-96.73302417135076,1719.4277777194889
OCEN,46,-124,-17
OCSD,33.24066689,-117.34673488,42.8963
ODOT,44,-123,51
ODSA,47,-118,468
OEOC,33,-117,358
OFW2,44.451107,-110.83115,2280.4578
OHLN,38,-122,0
OK05,36.4322,-96.89361111,274
OKNG,48,-119,271
OLAR,46,-122,41
OLMP,47,-122,2
OLO1,-2.7342,35.95,988
OLO3,-2.753983,35.871394,1483
OLO5,-2.6336855,35.8893321,657
OLO6,-2.7087,35.9055,926
OLO7,-2.79694,35.91232,1441.704
OLO8,-2.784635,35.9475,1289.16
OLO9,-2.751567,35.86994,1449.26
OLVN,16.7504267883,-62.2277,38.77327
ONTO,44,-116,646
OPBL,34.36988,-115.91806,1226.5495
OPCL,34.42772,-116.30546,1312.9114
OPCP,34.367129,-116.083372,1096.6705
OPCX,34.430082,-116.149484,1133.8286
OPRD,34.53303,-116.29228,1400.231
